node_from,node_to,n,mean_pred,sd_pred,p_value
Euphorbia_balsamifera_f,Thysanoptera_sp_7,12,0.9826369210630368,0.029566164357924515,2.5850718929242605e-10
Euphorbia_balsamifera_f,Urelliosoma_guimari,65,0.9593185086223208,0.049688698993692146,1.3973025719801899e-35
Euphorbia_balsamifera_m,Alliophleps_elliptica,5,0.9820316576069371,0.03763430623609227,4.145764863131731e-4
Euphorbia_balsamifera_m,Amegilla_canifrons,6,0.9751751745153899,0.025868258699932374,1.4542340653354773e-5
Euphorbia_balsamifera_m,Amegilla_quadrifasciata,82,0.9961927435079612,0.014235305950287162,2.268813214946123e-94
Euphorbia_balsamifera_m,Anaspis_cf_eversi,6,0.9985590035760086,0.002808626951403269,1.2184085850460593e-10
Euphorbia_balsamifera_m,Andrena_vulcana,23,0.9822820710329618,0.03890464740403083,1.153008484483398e-16
Euphorbia_balsamifera_m,Anthophora_alluaudi,238,0.9918110571849227,0.026307079581492247,1.1547935985913011e-207
Euphorbia_balsamifera_m,Anthophora_orotavae,34,0.9963209648027941,0.015453993561157052,2.8456012803770874e-38
Euphorbia_balsamifera_m,Attalus_chrysanthemi,6,0.9782508645060567,0.04034128632205579,1.1684027600967688e-4
