"train_layer","test_layer","threshold","f05","f1","mcc","train_layer_name","test_layer_name","jaccard_pollinators","jaccard_plants","jaccard_edges","distance_km","layer_comparison"
1,5,0.5,0.621113130365972,0.708099800494463,0.0422803204177877,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.525,0.625786221760567,0.700192836266016,0.0778168685716811,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.55,0.623516282779416,0.686577576982637,0.0764895321667794,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.575,0.619512692155521,0.6712783910242,0.0740642986571687,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.6,0.614249805986931,0.654863739665174,0.0681864140631917,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.625,0.623153814030641,0.648625482786947,0.108251397009258,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.65,0.636831176278472,0.648723800924066,0.153418258710468,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.675,0.648940315064347,0.65126331694494,0.189477083839603,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.7,0.653118344638243,0.64932747060042,0.203160166811724,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.725,0.658390038550439,0.649470270679674,0.217447225518302,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.75,0.661877908078345,0.64728525800266,0.228642126968013,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.775,0.668547851497618,0.650302752040197,0.243677692153633,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,5,0.8,0.673943728999815,0.652452809612143,0.256530267852372,"Tenerife Teno","Western Sahara",0.043859649122807,0.192307692307692,0.00843881856540084,389.094179225,"Added location"
1,6,0.3,0.643959356811185,0.741871857497626,NA,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.325,0.643959356811185,0.741871857497626,NA,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.35,0.643959356811185,0.741871857497626,NA,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.375,0.643959356811185,0.741871857497626,NA,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.4,0.643959356811185,0.741871857497626,NA,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.425,0.643959356811185,0.741871857497626,NA,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.45,0.643959356811185,0.741871857497626,NA,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.475,0.643959356811185,0.741871857497626,NA,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.5,0.646561734295166,0.726460195800769,0.0685788014016931,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
